version,split,features,balance,sem_prev,best_model,mae,rmse,corr
5,70_30,ALL,No,Yes,RF,1.7719,2.3744,0.7125
6,70_30,ALL,No,No,RF,1.7719,2.3744,0.7125
7,70_30,ALL,Yes,Yes,RF,1.7719,2.3744,0.7125
8,70_30,ALL,Yes,No,RF,1.7719,2.3744,0.7125
13,70_30,AD HOC,No,Yes,RF,1.802,2.4089,0.7013
14,70_30,AD HOC,No,No,RF,1.802,2.4089,0.7013
15,70_30,AD HOC,Yes,Yes,RF,1.802,2.4089,0.7013
16,70_30,AD HOC,Yes,No,RF,1.802,2.4089,0.7013
29,70_30,POSIT_CORR+SEM_PREV,No,Yes,RF,1.9418,2.5249,0.6615
30,70_30,POSIT_CORR+SEM_PREV,No,No,RF,1.9418,2.5249,0.6615
